document_id,url,file,titulo,rango,materia,no_norma,no_gaceta,fecha_publicacion,tipo_norma,candidate,total_matches,unique_terms,direct_es_matches,economic_instruments_matches,tier_1_matches,tier_2_matches,matched_terms,matched_categories,matched_subcategories,matched_tiers
89A50F5643375AB7062573A0005F9F9D,http://legislacion.asamblea.nacional.gob.ni/Normaweb.nsf/xpNormaJuridica.xsp?documentId=89A50F5643375AB7062573A0005F9F9D&action=openDocument,data\legislation\html\89A50F5643375AB7062573A0005F9F9D.html,Decreto de 14 de Marzo sobre Solicitudes Sobre Corte de Madera,Decretos Ejecutivos,Medio Ambiente y Recursos Naturales,S/N,69,26/03/1919,Decreto,False,0,0,0,0,0,0,,,,
6BE15DD039C1D6AD06257395005388BE,http://legislacion.asamblea.nacional.gob.ni/Normaweb.nsf/xpNormaJuridica.xsp?documentId=6BE15DD039C1D6AD06257395005388BE&action=openDocument,data\legislation\html\6BE15DD039C1D6AD06257395005388BE.html,"(DECRETO SOBRE PATENTES PARA SIEMBRA DE TABACO, NORMA ACLARATORIA DEL ARTO. 13 DEL DECRETO DEL 23-7-1915)",Decretos Legislativos,Medio Ambiente y Recursos Naturales,18,35,13/02/1923,Decreto,False,0,0,0,0,0,0,,,,
6230F45118D10674062583BC0052C331,http://legislacion.asamblea.nacional.gob.ni/Normaweb.nsf/xpNormaJuridica.xsp?documentId=6230F45118D10674062583BC0052C331&action=openDocument,data\legislation\html\6230F45118D10674062583BC0052C331.html,"(Reglamentar el Decreto Legislativo del 27/02/1919, Sobre Corrientes y Caídas de Aguas Naturales",Decretos Ejecutivos,Medio Ambiente y Recursos Naturales,S/N,40,19/02/1923,Decreto,False,0,0,0,0,0,0,,,,
49DC748EDA6AAA24062573910074E321,http://legislacion.asamblea.nacional.gob.ni/Normaweb.nsf/xpNormaJuridica.xsp?documentId=49DC748EDA6AAA24062573910074E321&action=openDocument,data\legislation\html\49DC748EDA6AAA24062573910074E321.html,Decreto Por el Cual se Reglamenta la Pesca de Madre-Perla en los Mares Territoriales,Decretos Ejecutivos,Medio Ambiente y Recursos Naturales,S/N,227,09/10/1925,Decreto,False,0,0,0,0,0,0,,,,
BAC8CE26D4E870560625738D007A75CD,http://legislacion.asamblea.nacional.gob.ni/Normaweb.nsf/xpNormaJuridica.xsp?documentId=BAC8CE26D4E870560625738D007A75CD&action=openDocument,data\legislation\html\BAC8CE26D4E870560625738D007A75CD.html,SE PONE EN VIGOR UNA LEY QUE TRATA SOBRE LA EXTIRPACIÓN DE LA PLAGA DEL CHAPULÍN,Decretos Ejecutivos,Medio Ambiente y Recursos Naturales,,133,12/06/1926,Decreto,False,0,0,0,0,0,0,,,,
6D31A9D21425A80C0625734C0064BE0A,http://legislacion.asamblea.nacional.gob.ni/Normaweb.nsf/xpNormaJuridica.xsp?documentId=6D31A9D21425A80C0625734C0064BE0A&action=openDocument,data\legislation\html\6D31A9D21425A80C0625734C0064BE0A.html,Decreto Ejecutivo por el cual se Reglamentan las Disposiciones Referente a Cortes de Maderas en los Bosques Nacionales,Decretos Ejecutivos,Medio Ambiente y Recursos Naturales,S/N,50,02/03/1927,Decreto,False,0,0,0,0,0,0,,,,
CA81E24310A0CE590625734C006B111B,http://legislacion.asamblea.nacional.gob.ni/Normaweb.nsf/xpNormaJuridica.xsp?documentId=CA81E24310A0CE590625734C006B111B&action=openDocument,data\legislation\html\CA81E24310A0CE590625734C006B111B.html,Los Dueños de Cortes de Madera que no Pudieron Hacer sus Trabajos por Motivos de la Guerra Podrán Pedir Prórroga),Decretos Ejecutivos,Medio Ambiente y Recursos Naturales,S/N,100,04/05/1927,Decreto,False,0,0,0,0,0,0,,,,
97922E955CFD03ED0625734C006C20A6,http://legislacion.asamblea.nacional.gob.ni/Normaweb.nsf/xpNormaJuridica.xsp?documentId=97922E955CFD03ED0625734C006C20A6&action=openDocument,data\legislation\html\97922E955CFD03ED0625734C006C20A6.html,Se Extiende el Plazo para que los Interesados en cortar Maderas Nacionales Presenten al Ministerio el Recibo de Pago del Impuesto Forestal,Decretos Ejecutivos,Medio Ambiente y Recursos Naturales,S/N,100,04/05/1927,Decreto,False,0,0,0,0,0,0,,,,
42216A2EF90AE2BC06258AB700558C58,http://legislacion.asamblea.nacional.gob.ni/Normaweb.nsf/xpNormaJuridica.xsp?documentId=42216A2EF90AE2BC06258AB700558C58&action=openDocument,data\legislation\html\42216A2EF90AE2BC06258AB700558C58.html,SE EXTIENDE EL PLAZO PARA QUE LOS INTERESADOS EN CORTAR MADERAS NACIONALES PRESENTEN AL MINISTERIO EL RECIBO DE PAGO DEL IMPUESTO FORESTAL,Decretos Ejecutivos,Medio Ambiente y Recursos Naturales,S/N,100,04/05/1927,Decreto,False,0,0,0,0,0,0,,,,
12C335D8B4F398890625734D00602FF6,http://legislacion.asamblea.nacional.gob.ni/Normaweb.nsf/xpNormaJuridica.xsp?documentId=12C335D8B4F398890625734D00602FF6&action=openDocument,data\legislation\html\12C335D8B4F398890625734D00602FF6.html,(SE DESIGNA LA ZONA DE TICUANTEPE PARA LA SIEMBRA DE TABACO DE CALIDADES ESTABLECIDAS),Decretos Ejecutivos,Medio Ambiente y Recursos Naturales,,219,03/10/1927,Decreto,False,0,0,0,0,0,0,,,,
